Kode_Distributor,Tahun,Bulan,Salesman,Kode_Outlet,Nama_Outlet,Type_Outlet,Kode_Produk,Unit,HET,Value_HET
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2LMRB12,3,14800,44400
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2LMRB21,6,8600,51600
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2LMRP12,3,14800,44400
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2LMRP12,6,14800,88800
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2LMRP22,6,8600,51600
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2SSMJ21,3,10500,31500
01A146,2016,5,IBNU,MDN00011,ADIL GROSIR,GROSIR,6P2SSMJ31,3,7800,23400
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2CCKW21,3,16500,49500
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LMRB12,12,14800,177600
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LMRP12,12,14800,177600
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LPBE11,6,38000,228000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LPBE12,6,21000,126000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LPMU11,6,38000,228000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LPMU12,6,21000,126000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LPSU11,6,38000,228000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LPSU12,6,21000,126000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LWAL21,3,16000,48000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P2LWCB21,3,16000,48000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4ABDS11,3,9500,28500
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4ABDS13,3,9500,28500
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4BODS11,12,32000,384000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4BODS12,12,32000,384000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4CPDS14,12,27000,324000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4EPBR11,12,25000,300000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4PCMN81,24,32000,768000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4PCMN83,12,32000,384000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4PRCM82,24,32000,768000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4PRCM86,12,32000,384000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4PRCM87,24,32000,768000
01A146,2016,5,IRMA,MDN00023,ALAM BARU SUMI,GROSIR,6P4PRCM89,24,32000,768000
